id,severity,file,description,status,notes
1,Critical,src/engine/orchestrator.py,"_trim_context set to 900 chars (should be ~3500)",Open,"Affects LLM evidence window; default comment mismatch"
2,Critical,src/evaluator.py,"_increment_hit opens SQLite per sentence (many connections)",Open,"Causes huge runtime overhead; batch updates needed"
3,Critical,src/engine/orchestrator.py,"VendorIndex frozen=True but contains mutable lists",Open,"False immutability guarantee; use tuples or remove frozen"
4,Critical,src/engine/ollama_client.py,"_generate_lmstudio ignores max_tokens",Open,"Uses endpoint without max_tokens support; unbounded output"
5,Critical,src/engine/ollama_client.py,"_extract_lmstudio_text misses 'message' blocks",Open,"Priority logic skips or picks wrong reasoning blocks"
6,Critical,src/evaluator.py,"retrain_from_feedback creates single-token heuristic rules",Open,"Poisoning rule table; use bigrams and dedupe/update"
7,Serious,src/engine/orchestrator.py,"dispatch_spec_vendor returns incompatible result shapes",Open,"Multiple early-return paths produce inconsistent DB rows"
8,Serious,src/engine/orchestrator.py,"_numeric_magnitude_ok returns True when unit not found",Open,"Should return False if unit-bearing requirement has zero evidence"
9,Serious,src/engine/ollama_client.py,"is_healthy() caches result permanently (no TTL)",Open,"Add timestamp and TTL (e.g., 60s) before rechecking"
10,Serious,src/engine/ollama_client.py,"LRU cache race causes duplicate LLM calls under concurrency",Open,"Locking/semaphore ordering wasteful under concurrent misses"
11,Serious,src/reporting/excel_report.py,"company_requirement vs company_Requirement casing mismatch",Open,"Inconsistent inserts/selects produce blank columns"
12,Serious,src/reporting/excel_report.py,"_find_compliance_cols assumes triplet columns",Open,"Hard-coded col+1/col+2 assumption corrupts template parsing"
13,Structural,src/evaluator.py + src/engine/orchestrator.py,"Two parallel evaluation stacks (old MultiAgentEvaluator active)",Open,"Duplicate stacks cause confusion and double DB hits"
14,Structural,requirements.txt,"Unpinned package versions",Open,"Pin current working environment to requirements.txt via pip freeze"
15,Structural,config/settings.yaml,"Hardcoded LAN IP for LLM host",Open,"Commits internal host; replace with env/config override"
16,Duplicate,src/engine/orchestrator.py,"VendorIndex frozen vs mutable (duplicate of #3)",Open,"Duplicate entry"
17,Structural,run_pipeline.py,"FAST_REUSE_PARSED present in docs but not implemented",Open,"Docs/behavior mismatch"
18,Structural,src/engine/orchestrator.py,"_quick_evidence_verdict checks only top-1 block",Open,"Misses YES evidence in top-3 blocks"
19,Structural,src/engine/ollama_client.py,"_generate_lmstudio uses /api/v1/chat (proprietary) not /v1/chat/completions",Open,"Different response shapes and missing max_tokens"
20,Structural,src/evaluator.py,"retrain_from_feedback INSERT OR IGNORE misses UPDATE path",Open,"Wrong rules persist forever if later corrected"
21,Critical,src/ui/review_app.py,"Override UPDATE has no rowcount check (silent failures)",Open,"Should verify cur.rowcount and surface errors"
22,Critical,src/ui/review_app.py,"Override writes span separate contexts; transaction can rollback unexpectedly",Open,"Use explicit transactions to avoid partial rollback"
23,Critical,src/storage/schema.sql,"heuristic_rules missing UNIQUE(rule_type,pattern)",Open,"INSERT OR IGNORE ineffective without UNIQUE constraint"
24,Critical,src/storage/db.py,"_ensure_column uses f-string for SQL (injection vector)",Open,"Sanitize identifiers or use validated names"
25,Critical,src/app/run_pipeline.py,"_citation_doc_id uses :0 index always (wrong citation)",Open,"Generates wrong doc_id for cited block index"
26,Serious,src/reporting/excel_report.py,"vendor_data lookup compares vendor_id against spec_id (wrong var)",Open,"Variable naming bug causes empty vendor_data results"
27,Serious,src/ingest/pdf_parser.py,"2-column PDFs not handled; block order scrambled",Open,"Sorting logic insufficient for multi-column layouts"
28,Serious,src/storage/db.py,"format_profiles index missing from _ensure_indexes",Open,"Index present in schema.sql but not ensured at init"
29,Serious,src/engine/agents.py,"_HEURISTIC_EVALUATOR instantiated at import time (touches real DB)",Open,"Side effects at import time break tests/environments"
30,Serious,src/engine/judge.py / src/engine/prompts.py,"Judge prompt receives unlabeled agent outputs",Open,"Pass labeled agent outputs (Technical/Risk/Fallback) to judge"
31,Serious,src/ingest/ocr.py,"ocr_pdf_if_needed rasterizes every page at 200dpi even if digital text exists",Open,"Add digital-text check to skip OCR"
32,Serious,src/ui/review_app.py,"PDF viewer path uses file_name.name; breaks if file moved",Open,"Resolve full path or store original path consistently"
33,Serious,src/engine/orchestrator.py,"Confidence calibration inverted for NO vs YES in some branches",Open,"Re-evaluate confidence formulas for NO branch"
34,Serious,src/ingest/excel_parser.py,"ffill on df.iloc[:, col] may be a no-op in pandas 2.x",Open,"Use column-name-based assignment or .values to avoid SettingWithCopy"
35,Structural,src/app/run_pipeline.py,"Block order alignment between DB insert and VendorIndex is fragile",Open,"Ensure stable ordering or persist indices explicitly"
36,Structural,tests/test_pipeline.py,"Duplicate dict key in test fixture (linter)",Open,"Fix duplicate keys in test fixtures"
37,Structural,src/app/api.py,"/reset-pipeline documented but endpoint missing",Open,"Add endpoint or update README"
38,Serious,src/engine/ollama_client.py,"_generate_lmstudio sends system_prompt as top-level key (wrong payload)",Open,"Use messages array with system role"
39,Serious,src/app/api.py,"Override actions not logged to audit_log",Open,"Insert audit_log entries for override actions"
40,Critical,src/storage/db.py,"Seed heuristic rules like 'included'/'provided' cause negation false-positives",Open,"Negation-aware matching or multi-word seeds needed"
41,Structural,src/engine/format_detector.py,"Format profiles re-detected and re-saved every run (no file-hash check)",Open,"Add file hash/timestamp to skip unchanged files"
42,Structural,src/ui/review_app.py,"Loads entire compliance_matrix on every render (no pagination)",Open,"Implement pagination/filtering to avoid heavy memory use"
43,Serious,tests/test_engine_agents.py,"Monkeypatch targets obsolete name (_call_ollama); tests not isolating correctly",Open,"Update tests to patch current call path"
44,Structural,src/engine/orchestrator.py,"Numeric extraction may pick numbers from aspect ratios (e.g., 16 in 16:9)",Open,"Tighten numeric regex or token context"
45,Critical,src/app/api.py,"Dead code after return; /report endpoint missing",Open,"Fix misplaced code and implement /report"
46,Critical,src/app/run_pipeline.py,"Connection leak: get_connection() result not closed",Open,"Close connections or use context manager"
47,Critical,src/app/run_pipeline.py,"FAST_REUSE_PARSED blocks lose doc_id when reusing parsed blocks",Open,"Include doc_id in SELECT to preserve indices"
48,Critical,src/app/api.py,"Upload_files writes chunks before size check; partial files left on disk",Open,"Validate Content-Length or delete partial file on error"
49,Serious,src/app/run_pipeline.py,"_update_progress commits on every pair (fsync storm)",Open,"Batch commits every N pairs"
50,Serious,src/app/run_pipeline.py,"Log message references eval_workers before assignment; concurrency/log mismatch",Open,"Ensure logging reflects actual worker count"
51,Serious,src/engine/format_detector.py,"Keyword 'spec' overmatches (e.g., 'Inspection Aspects')",Open,"Improve keyword matching to avoid substrings"
52,Serious,src/engine/format_detector.py,"FormatProfile.from_dict mutates input dict via pop",Open,"Avoid mutating caller's dict"
53,Serious,src/engine/agents.py,"default_model() called at import; evaluator gets stale model_name",Open,"Delay default resolution until health checked"
54,Serious,src/app/run_pipeline.py,"ThreadPoolExecutor shares a single SQLite connection across threads (unsafe)",Open,"Use per-thread connections or serialize DB writes"
